To ;US;Peru;Trinidad &  Tobago;Other  Americas*;Norway;Other  Europe*;Russia;Oman;Qatar;UAE;Yemen;Algeria;Angola;Egypt;Nigeria;Other Africa;Australia;Brunei;Indonesia;Malaysia;Papua New Guinea;Other Asia Pacific*
Canada;0,0005;0,0000;0,4343;0,0000;0,0821;0,0085;0,1019;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Mexico;4,8972;0,0917;0,2737;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,4320;0,0000;0,0000;0,0000;0,1798;0,0000;0,0000;0,0000
US;0,0000;0,0000;1,8133;0,0534;0,0000;0,1667;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0833;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Argentina;0,7382;0,0000;0,5937;0,0000;0,0000;0,0583;0,0545;0,0000;1,4602;0,0000;0,0000;0,0909;0,0000;0,0000;0,5085;0,0890;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Brazil;0,6794;0,0000;0,7827;0,0000;0,2406;0,3630;0,1946;0,0000;0,1734;0,0000;0,0000;0,0000;0,0833;0,0000;0,3551;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Chile;1,0734;0,0000;2,4952;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7308;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Other S. & Cent. America;0,5179;0,0000;3,1888;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Belgium;0,0000;0,0000;0,0000;0,0000;0,0899;0,0283;0,8055;0,0000;2,6621;0,0000;0,0000;0,0000;0,0915;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
France;0,4899;0,3277;0,0781;0,0000;1,5384;0,0385;1,4936;0,0000;1,1480;0,0000;0,0000;4,0245;0,0914;0,3562;3,5600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Italy;0,4658;0,0000;0,0000;0,0000;0,1134;0,0047;0,0000;0,0000;6,3170;0,0000;0,0000;0,7316;0,0000;0,1747;0,1315;0,0901;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Spain;0,3022;1,7365;2,1817;0,0000;0,5906;0,1249;0,8784;0,0000;3,3918;0,0000;0,0000;1,5165;0,0930;0,0000;4,1371;0,0777;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Turkey;0,4202;0,0000;0,4048;0,0000;0,0893;0,2691;0,0000;0,0000;3,0681;0,0000;0,0000;4,6872;0,0923;0,1981;2,2088;0,0843;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
United Kingdom;1,1693;0,0578;0,7911;0,0000;0,1744;0,0000;1,6507;0,0000;2,9158;0,0000;0,0000;0,3211;0,0000;0,1815;0,0000;0,0678;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Other EU;1,0565;0,3199;0,2451;0,0000;1,9919;0,2900;1,9778;0,0000;3,0828;0,0000;0,0000;1,0974;0,1809;0,0000;2,4581;0,0816;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Rest of Europe;0,0000;0,0000;0,0000;0,0000;0,0000;0,0020;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
