To;Canada;Mexico;US;Bolivia;Other S. & Cent. America;Netherlands;Norway;Other Europe;Azerbaijan;Kazakhstan;Russia;Turkmenistan;Uzbekistan;Iran;Qatar;Other Middle East;Algeria;Libya;Other Africa;Indonesia;Myanmar;Other Asia Pacific
Canada;0,0000;0,0000;21,8762;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Mexico;0,0000;0,0000;45,7688;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
US;77,2450;0,0904;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Argentina;0,0000;0,0000;0,0000;5,7393;0,2058;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Brazil;0,0000;0,0000;0,0000;7,6387;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Other S. & Cent. America;0,0000;0,0000;0,0000;0,0000;0,4421;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Belgium;0,0000;0,0000;0,0000;0,0000;0,0000;6,9563;4,9502;7,9471;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
France;0,0000;0,0000;0,0000;0,0000;0,0000;5,3258;19,5935;2,9994;0,0000;0,0000;8,8667;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Germany;0,0000;0,0000;0,0000;0,0000;0,0000;15,8345;24,7230;4,8963;0,0000;0,0000;55,3166;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Italy;0,0000;0,0000;0,0000;0,0000;0,0000;1,1162;2,3158;6,7551;0,0000;0,0000;25,4314;0,0000;0,0000;0,0000;0,0000;0,0000;16,2828;4,2546;0,0000;0,0000;0,0000;0,0000
Netherlands;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;20,6803;7,4998;0,0000;0,0000;7,3890;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Spain;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,6323;0,9968;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;16,5689;0,0000;0,0000;0,0000;0,0000;0,0000
Turkey;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7,2391;0,0000;22,7555;0,0000;0,0000;7,5680;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Ukraine;0,0000;0,0000;0,0000;0,0000;0,0000;0,2441;0,0000;9,5874;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
United Kingdom;0,0000;0,0000;0,0000;0,0000;0,0000;2,7086;32,5781;3,1975;0,0000;0,0000;4,3604;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Other EU;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;6,8415;32,5552;0,0000;0,0000;67,1197;0,0000;0,0000;0,0000;0,0000;0,0000;1,3826;0,0000;0,0000;0,0000;0,0000;0,0000
Rest of Europe;0,0000;0,0000;0,0000;0,0000;0,0000;0,2863;0,0033;6,6406;1,9536;0,0000;2,5812;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Belarus;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;19,0355;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Kazakhstan;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;4,2388;0,0000;2,3635;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Russia;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;19,8666;0,0000;0,0000;5,3006;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Other CIS;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2668;5,8842;0,0000;0,0673;0,4884;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
United Arab Emirates;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;18,2496;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Other Middle East;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0439;0,0000;0,0000;1,9373;0,0000;4,0589;1,9896;0,1251;0,0000;0,0000;0,1492;0,0000;0,0000;0,0000
South Africa;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;3,9070;0,0000;0,0000;0,0000
Other Africa;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;4,6958;0,0000;0,7654;0,0000;0,0000;0,0000
Australia;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5,8676
China;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5,4332;0,0000;33,2943;6,3081;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,8526;0,0000
Malaysia;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,5689;0,0000;0,0000
Singapore;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7,0282;0,0000;1,7676
Thailand;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7,7500;0,0000
