Product (million tonnes);Canada;Mexico;US;S. & Cent. America;Europe;Russia;Other CIS;Middle East;Africa;Australasia;China;India;Japan;Singapore;Other Asia Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;0,0000;1,4705;27,8379;0,8445;1,6371;0,0046;0,0004;0,0048;0,0020;0,0011;0,4997;0,0002;0,5056;0,1024;0,3674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mexico;0,2358;0,0000;2,5603;1,3717;0,1287;0,0000;0,0000;0,0007;0,2465;0,0001;0,1118;0,0000;0,1012;0,9571;0,0847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US;27,7953;57,7950;0,0000;80,7025;28,2868;0,0308;0,0015;2,9408;7,3861;1,1223;6,2146;4,6282;11,6437;6,9402;16,0999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S. & Cent. America;0,1803;0,9707;11,5047;0,0000;5,5396;0,0035;0,0000;0,5373;2,1679;0,0942;1,4147;0,0205;0,2729;4,8551;1,0591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;6,6920;1,9172;22,5287;10,1164;0,0000;0,3768;1,0645;15,4500;44,9771;1,0145;2,1178;0,7804;0,5869;19,1672;7,2060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Russia;0,6318;0,0550;14,4567;2,1189;112,5152;0,0000;8,9231;1,3000;5,1999;0,0266;2,2890;0,5800;2,0538;10,5375;12,4504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other CIS;0,4014;0,0009;0,8033;0,0614;9,6157;8,7725;0,0000;0,1103;0,4894;0,0004;0,5571;0,1079;0,0001;0,0008;0,3582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iraq;0,0000;0,0000;0,1256;0,0000;0,0735;0,0000;0,0107;0,4213;0,0001;0,0000;0,1218;0,0066;0,0000;7,0962;0,6329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kuwait;0,0540;0,0000;0,0359;0,2339;1,5289;0,0000;0,0000;3,6581;2,2170;0,0204;2,3588;1,7747;1,9470;0,6915;8,9571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saudi Arabia;0,0730;0,0000;1,4596;0,3277;16,5394;0,0003;0,0000;5,2439;7,3556;0,2087;4,4557;6,9014;2,2632;3,2488;8,1133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
