year;FSI;SGR;EROI;PRP;ES;ROEnv;RoL;ROEsr;RER;CR;NWCT;ROFA;ROS;ROCE;ROA;ROE;EBIT;WACC;RG;NPG;NAG;FL;DOL;DER
1996;0,11;0,0020;0,1000;0,1837;1800,0000;0,0000;0,0000;0,0300;0,0000;0,8000;2,5000;0,8870;0,2413;0,3343;0,2635;0,2798;19,1000;0,0600;0,3552;0,1914;0,1770;0,3748;0,6903;0,8210
1997;0,10;0,0018;0,1100;0,1837;1700,0000;0,0000;0,0800;0,0400;0,3000;0,8000;2,5000;0,8870;0,2413;0,3343;0,2635;0,2798;19,1000;0,0700;0,3552;0,1914;0,1770;0,3748;0,6903;0,8210
1998;0,11;0,0008;0,1100;0,1837;1600,0000;0,0000;0,0700;0,0500;0,3000;0,9000;-1,5000;0,8549;0,2072;0,3119;0,2429;0,2636;18,0000;0,0600;0,1553;0,2790;0,2548;0,3042;1,6737;0,8244
1999;0,09;0,0087;0,1200;0,1837;1600,0000;0,0000;0,0600;0,0400;0,3000;0,7000;3,4000;0,8065;0,1718;0,2522;0,2010;0,2118;17,0000;0,0800;0,2677;-0,1372;0,1568;0,3487;-1,7519;0,8256
2000;0,18;0,0100;0,1300;0,1837;1500,0000;0,0000;0,0800;0,0300;0,3000;0,8000;3,7000;0,6247;0,1176;0,1712;0,1333;0,1591;18,0000;0,6000;-0,0175;0,3410;0,1648;0,2867;0,8823;0,8805
2001;0,11;0,0100;0,1100;0,1837;1450,0000;0,0000;0,1000;0,0400;0,3000;1,0000;9,2000;0,4327;0,1044;0,1350;0,0989;0,1255;17,0000;0,5000;0,5210;0,5177;0,1539;0,3488;0,8557;1,0362
2002;0,12;0,0190;0,1400;0,1837;1567,0000;0,0000;0,1200;0,0500;0,3000;1,2000;-13,6000;0,4602;0,1028;0,1531;0,1134;0,1605;18,0000;0,4000;0,3511;0,0456;0,1174;0,3087;0,0221;1,0514
2003;0,11;0,0188;0,1300;0,1837;1678,0000;0,0000;0,1200;0,0600;0,3000;1,2000;-17,5000;0,4001;0,0729;0,1344;0,0952;0,1456;18,8000;0,4000;0,0953;-0,1262;0,1295;0,3843;-0,3837;1,1102
2004;0,21;0,0209;0,1200;0,1837;1345,0000;0,0000;0,1200;0,0700;0,3000;1,4000;-15,6000;0,3207;0,0595;0,1097;0,0807;0,1227;18,9000;0,2000;0,0592;0,0421;0,1176;0,3928;-1,1537;1,1709
2005;0,16;0,0234;0,1100;0,1837;1237,0000;0,0000;0,1200;0,0700;0,3000;1,7825;2,5000;0,8870;0,2413;0,3343;0,2635;0,2798;19,1000;0,3000;0,3552;0,1914;0,1770;0,3748;0,6903;0,8210
2006;0,14;0,0340;0,1300;0,1751;2876,0000;0,0000;0,1300;0,0600;0,3000;1,5167;-1,5000;0,8549;0,2072;0,3119;0,2429;0,2636;19,7000;0,3000;0,1553;0,2790;0,2548;0,3042;1,6737;0,8244
2007;0,14;0,0403;0,1500;0,1443;2345,0000;0,0000;0,0800;0,0700;0,3000;1,4588;3,4000;0,8065;0,1718;0,2522;0,2010;0,2118;19,9850;0,4000;0,2677;-0,1372;0,1568;0,3487;-1,7519;0,8256
2008;0,11;0,0179;0,2000;0,1054;2765,0000;0,0610;0,1000;0,0800;0,3000;1,2124;3,7000;0,6247;0,1176;0,1712;0,1333;0,1591;15,9300;0,5000;-0,0175;0,3410;0,1648;0,2867;0,8230;0,8805
2009;0,11;0,0144;0,2200;0,0733;3876,0000;0,0747;0,0900;0,0700;0,3000;0,9902;9,2000;0,4327;0,1044;0,1350;0,0989;0,1255;14,3000;0,3000;0,5210;0,5177;0,1539;0,3488;0,8557;1,0362
2010;0,11;0,0163;0,1700;0,0910;2345,0000;0,0586;0,0900;0,0600;0,3000;0,9245;-13,6000;0,4602;0,1028;0,1531;0,1134;0,1605;18,7700;0,2000;0,3511;0,0456;0,1174;0,3087;0,0221;1,0514
2011;0,11;0,0173;0,1500;0,0761;1897,0000;0,0517;0,0800;0,0500;0,3000;0,9299;-17,5000;0,4001;0,0729;0,1344;0,0952;0,1456;18,2460;0,2000;0,0953;-0,1262;0,1295;0,3843;-0,3837;1,1102
2012;0,11;0,0143;0,1400;0,0602;1678,0000;0,0213;0,0800;0,0600;0,3000;0,9477;-15,6000;0,3207;0,0595;0,1097;0,0807;0,1227;17,4910;0,2000;0,0592;0,0421;0,1176;0,3928;-1,1537;1,1709
